Time,Target X,Current X,Error X,Integral Error X,Derivative Error X,Target Y,Current Y,Error Y,Integral Error Y,Derivative Error Y,dt,Kp_x,Ki_x,Kd_x,Kp_y,Ki_y,Kd_y,P_x,I_x,D_x,P_y,I_y,D_y,Output X,Output Y
1741027013.5576165,640,672.1666870117188,-32.16668701171875,-56003071024.05527,-1.847569667858818e-08,7277.7427,512.0,6765.74267578125,11779340765314.746,3.886064158163821e-06,1741027013.5576165,0.001,0,0,0,0,0,-0.03216668701171875,-0.0,-0.0,0.0,0.0,0.0,-0.03216668701171875,0.0
1741027013.579159,640,672.0,-32.0,-55712864434.53309,-1.837995605491222e-08,7282.8945,512.5,6770.39453125,11787439771494.857,3.888736061212282e-06,1741027013.579159,0.001,0,0,0,0,0,-0.032,-0.0,-0.0,0.0,0.0,0.0,-0.032,0.0
1741027013.5984976,640,672.0,-32.0,-55712864435.151924,-1.837995605470806e-08,7288.0464,512.5,6775.54638671875,11796409291167.037,3.891695151078956e-06,1741027013.5984976,0.001,0,0,0,0,0,-0.032,-0.0,-0.0,0.0,0.0,0.0,-0.032,0.0
1741027013.6212976,640,672.0,-32.0,-55712864435.88152,-1.8379956054467364e-08,7293.198,511.5,6781.6982421875,11807119837876.506,3.895228614564526e-06,1741027013.6212976,0.001,0,0,0,0,0,-0.032,-0.0,-0.0,0.0,0.0,0.0,-0.032,0.0
1741027013.6430902,640,672.0,-32.0,-55712864436.57889,-1.83799560542373e-08,7298.35,511.5,6786.85009765625,11816089357565.775,3.8981877044255626e-06,1741027013.6430902,0.001,0,0,0,0,0,-0.032,-0.0,-0.0,0.0,0.0,0.0,-0.032,0.0
1741027013.6641614,640,671.913818359375,-31.913818359375,-55562819872.84315,-1.833045559253515e-08,7303.502,509.7758483886719,6793.726104736328,11828060671781.346,3.9021371015021e-06,1741027013.6641614,0.001,0,0,0,0,0,-0.031913818359375,-0.0,-0.0,0.0,0.0,0.0,-0.031913818359375,0.0
1741027013.6944091,640,673.0,-33.0,-57453891451.915504,-1.8954329680373512e-08,7308.654,510.0,6798.65380859375,11836639937518.098,3.904967444570089e-06,1741027013.6944091,0.001,0,0,0,0,0,-0.033,-0.0,-0.0,0.0,0.0,0.0,-0.033,0.0
1741027013.714499,640,673.0,-33.0,-57453891452.57847,-1.8954329680154795e-08,7313.8057,510.0,6803.8056640625,11845609457196.527,3.907926534434702e-06,1741027013.714499,0.001,0,0,0,0,0,-0.033,-0.0,-0.0,0.0,0.0,0.0,-0.033,0.0
1741027013.739546,640,674.7941284179688,-34.79412841796875,-60577517495.206406,-1.9984829726010142e-08,7318.9575,509.79412841796875,6809.163391113281,11854937404894.598,3.911003871495309e-06,1741027013.739546,0.001,0,0,0,0,0,-0.03479412841796875,-0.0,-0.0,0.0,0.0,0.0,-0.03479412841796875,0.0
1741027013.7577903,640,674.7941284179688,-34.79412841796875,-60577517495.8412,-1.9984829725800723e-08,7324.1094,509.79412841796875,6814.315246582031,11863906924560.895,3.913962961363924e-06,1741027013.7577903,0.001,0,0,0,0,0,-0.03479412841796875,-0.0,-0.0,0.0,0.0,0.0,-0.03479412841796875,0.0
1741027013.776522,640,1273.75,-633.75,-1103375869980.8708,-3.640092858900052e-07,7329.261,219.5,7109.76123046875,12378286363747.098,4.083659342566272e-06,1741027013.776522,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027013.792708,640,1273.75,-633.75,-1103375869991.1287,-3.640092858866211e-07,7334.413,219.5,7114.9130859375,12387255883404.426,4.086618432437846e-06,1741027013.792708,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027013.8184714,640,1274.1363525390625,-634.1363525390625,-1104048520214.8215,-3.6423119659025626e-07,7339.565,219.5,7120.06494140625,12396225403130.113,4.089577522286868e-06,1741027013.8184714,0.001,0,0,0,0,0,-0.6341363525390625,-0.0,-0.0,0.0,0.0,0.0,-0.6341363525390625,0.0
1741027013.83993,640,1274.1363525390625,-634.1363525390625,-1104048520228.4292,-3.6423119658576703e-07,7344.717,219.5,7125.216796875,12405194922825.393,4.092536612145923e-06,1741027013.83993,0.001,0,0,0,0,0,-0.6341363525390625,-0.0,-0.0,0.0,0.0,0.0,-0.6341363525390625,0.0
1741027013.8602285,640,1274.1363525390625,-634.1363525390625,-1104048520241.301,-3.642311965815205e-07,7349.8687,219.5,7130.36865234375,12414164442512.621,4.095495702007633e-06,1741027013.8602285,0.001,0,0,0,0,0,-0.6341363525390625,-0.0,-0.0,0.0,0.0,0.0,-0.6341363525390625,0.0
1741027013.8784938,640,1274.3182373046875,-634.3182373046875,-1104365186543.25,-3.6433566639015777e-07,7355.0205,219.5,7135.5205078125,12423133962185.55,4.098454791874061e-06,1741027013.8784938,0.001,0,0,0,0,0,-0.6343182373046875,-0.0,-0.0,0.0,0.0,0.0,-0.6343182373046875,0.0
1741027013.9015753,640,1273.625,-633.625,-1103158241683.3857,-3.639374891605332e-07,7360.1724,219.0,7141.17236328125,12432973995400.01,4.101701068542386e-06,1741027013.9015753,0.001,0,0,0,0,0,-0.633625,-0.0,-0.0,0.0,0.0,0.0,-0.633625,0.0
1741027013.927705,640,1273.625,-633.625,-1103158241699.9421,-3.639374891550711e-07,7365.324,219.0,7146.32421875,12441943515129.553,4.104660158390136e-06,1741027013.927705,0.001,0,0,0,0,0,-0.633625,-0.0,-0.0,0.0,0.0,0.0,-0.633625,0.0
1741027013.9484465,640,1273.8333740234375,-633.8333740234375,-1103521026516.8943,-3.640571736942652e-07,7370.476,219.5,7150.97607421875,12450042521313.855,4.107332061437214e-06,1741027013.9484465,0.001,0,0,0,0,0,-0.6338333740234375,-0.0,-0.0,0.0,0.0,0.0,-0.6338333740234375,0.0
1741027013.9700072,640,1274.1363525390625,-634.1363525390625,-1104048520310.9158,-3.6423119655855425e-07,7375.628,219.5,7156.1279296875,12459012041011.197,4.1102911512955874e-06,1741027013.9700072,0.001,0,0,0,0,0,-0.6341363525390625,-0.0,-0.0,0.0,0.0,0.0,-0.6341363525390625,0.0
1741027013.9950757,640,1274.1363525390625,-634.1363525390625,-1104048520326.8127,-3.642311965533098e-07,7380.78,219.5,7161.27978515625,12467981560733.883,4.1132502411456e-06,1741027013.9950757,0.001,0,0,0,0,0,-0.6341363525390625,-0.0,-0.0,0.0,0.0,0.0,-0.6341363525390625,0.0
1741027014.0213208,640,1273.75,-633.75,-1103375870136.012,-3.640092858388233e-07,7385.9316,219.5,7166.431640625,12476951080465.26,4.116209330992747e-06,1741027014.0213208,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027014.044882,640,1273.75,-633.75,-1103375870150.944,-3.640092858338972e-07,7391.0835,219.5,7171.58349609375,12485920600177.658,4.119168420846153e-06,1741027014.044882,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027014.0711596,640,1273.75,-633.75,-1103375870167.5974,-3.6400928582840313e-07,7396.2354,219.5,7176.7353515625,12494890119909.793,4.122127510693048e-06,1741027014.0711596,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027014.0956914,640,1273.75,-633.75,-1103375870183.1445,-3.640092858232741e-07,7401.387,219.5,7181.88720703125,12503859639629.662,4.12508660054399e-06,1741027014.0956914,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027014.1148927,640,682.5975341796875,-42.5975341796875,-74163457741.51842,-2.4466900188417428e-08,7406.539,502.6463317871094,6903.892730712891,12019863746722.576,3.965413904977636e-06,1741027014.1148927,0.001,0,0,0,0,0,-0.0425975341796875,-0.0,-0.0,0.0,0.0,0.0,-0.0425975341796875,0.0
1741027014.1390917,640,682.5975341796875,-42.5975341796875,-74163457742.54922,-2.4466900188077354e-08,7411.691,502.6463317871094,6909.044586181641,12028833266433.678,3.9683729948314705e-06,1741027014.1390917,0.001,0,0,0,0,0,-0.0425975341796875,-0.0,-0.0,0.0,0.0,0.0,-0.0425975341796875,0.0
1741027014.166818,640,1273.75,-633.75,-1103375870228.221,-3.6400928580840315e-07,7416.843,219.5,7197.3427734375,12530768198773.016,4.1339638701021794e-06,1741027014.166818,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027014.192015,640,1273.75,-633.75,-1103375870244.1895,-3.6400928580313503e-07,7421.9946,219.5,7202.49462890625,12539737718498.674,4.136922959951211e-06,1741027014.192015,0.001,0,0,0,0,0,-0.63375,-0.0,-0.0,0.0,0.0,0.0,-0.63375,0.0
1741027014.2210455,640,668.7000122070312,-28.70001220703125,-49967496560.91518,-1.6484530092068644e-08,7427.1465,513.2999877929688,6913.846496582031,12037193522726.85,3.971131085335492e-06,1741027014.2210455,0.001,0,0,0,0,0,-0.02870001220703125,-0.0,-0.0,0.0,0.0,0.0,-0.02870001220703125,0.0
1741027014.2448764,640,665.7857055664062,-25.78570556640625,-44893609972.47776,-1.4810629217944734e-08,7432.2983,519.2142944335938,6913.084045410156,12035866074804.336,3.970693153436519e-06,1741027014.2448764,0.001,0,0,0,0,0,-0.02578570556640625,-0.0,-0.0,0.0,0.0,0.0,-0.02578570556640625,0.0
1741027014.2715,640,664.1455688476562,-24.14556884765625,-42038087638.72191,-1.386857794263434e-08,7437.45,524.259521484375,6913.190673828125,12036051717944.56,3.970754397926915e-06,1741027014.2715,0.001,0,0,0,0,0,-0.02414556884765625,-0.0,-0.0,0.0,0.0,0.0,-0.02414556884765625,0.0
1741027014.295664,640,664.1455688476562,-24.14556884765625,-42038087639.30536,-1.3868577942441857e-08,7442.602,524.259521484375,6918.342529296875,12045021237656.451,3.973713487780489e-06,1741027014.295664,0.001,0,0,0,0,0,-0.02414556884765625,-0.0,-0.0,0.0,0.0,0.0,-0.02414556884765625,0.0
1741027014.3229854,640,663.5,-23.5,-40914134836.59016,-1.3497780222059445e-08,7447.754,526.5,6921.25390625,12050090023769.738,3.975385705856721e-06,1741027014.3229854,0.001,0,0,0,0,0,-0.0235,-0.0,-0.0,0.0,0.0,0.0,-0.0235,0.0
1741027014.346664,640,663.5,-23.5,-40914134837.14661,-1.3497780221875872e-08,7452.906,526.5,6926.40576171875,12059059543478.727,3.978344795711252e-06,1741027014.346664,0.001,0,0,0,0,0,-0.0235,-0.0,-0.0,0.0,0.0,0.0,-0.0235,0.0
1741027014.3733895,640,663.0696411132812,-23.06964111328125,-40164868390.12165,-1.3250593427227327e-08,7458.0576,528.6012573242188,6929.456359863281,12064370717443.465,3.980096978769311e-06,1741027014.3733895,0.001,0,0,0,0,0,-0.02306964111328125,-0.0,-0.0,0.0,0.0,0.0,-0.02306964111328125,0.0
1741027014.4191368,640,663.5,-23.5,-40914134838.84972,-1.3497780221314006e-08,7463.2095,529.576904296875,6933.632568359375,12071641609570.014,3.982495682683396e-06,1741027014.4191368,0.001,0,0,0,0,0,-0.0235,-0.0,-0.0,0.0,0.0,0.0,-0.0235,0.0
